bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
attendez j' ai dit j' ai dit voilà un tiers deux tiers je pense qu' il faudra arriver dans dans le futur non mais il faudra arriver à cinquante cinquante dans les temps futurs on ne pourra pas créer un choc alors d' abord	mais attendez je voudrais je pense que j' ai dit que j' ai dit voilà un tiers deux tiers de l' etat je pense qu' il faudra arriver tant que futur un tueur mais il faudra arriver à cinquante cinquante en étant futur ne pourra pas créer un choc lors d' abord	_
vous nous dites qu' on ne parle que d' impôts mais je vous dis d' abord économie c' est le premier gouvernement qui fait dix milliards d' économie	vous dites qu' on ne parle que d' impôts je vous dis de bons économique c' est le premier gouvernement qui fait dix milliards d' économies	_
il y a eu des tentatives avant avec la rgd la tva moi je suis pas en train de choisir tva ou csg	il y a eu des tentatives avant le clergé la tva moi je suis pas en train de choisir tva ou csg	_
la tva rapporte six à sept milliards pour un point la csg rapporte onze à douze milliards pour un point donc elle est plus rentable c' est clair	la tva rapporte six à sept milliards pour un point la csg rapportent onze à douze milliard pour après donc elle est plus rentable c' est clair	_
la facilité ce serait de	facilité ce serait	_
alors le gouvernement précédent auquel vous apparteniez avait dit on va faire un choc de compétitivité avec la tva en la passant de cent quatre vingt six à vingt et un	alors le gouvernement précédent auquel vous appartenir avait dit on va faire un choc de compétitivité avec la tva la passion des dix huit à vingt et un	_
résultat résultat avouez le au moment où il y a une baisse de la consommation	résultat résultat avril au moment où il y a une baisse de la consommation	_
au moment où il y a une baisse de la demande arrivé au mois d' octobre là ce mois ci avec	au moment où il y a une baisse de la demande arrivé au mois d' octobre ce mois ci avec	_
deux points et demi de tva en plus est ce que vous pensez qu' on a encore pas plus cassé la machine	deux points et demi de tva en plus ce que vous pensez qu' on a encore pas plus casser la machine	_
auprès des consommateurs qui eux avouez le parce que quand vous pouvez me dire	auprès des consommateurs khieu avoué le parce que quand vous pouvez me dire	_
ça touche pas toutes les entreprises mais il n' empêche que pour un ménage qui se chauffe	touche pas tous les entreprises mais il n' empêche que pour un ménage qui se chauffent	_
quand ils payent la tva	quand il paye la tva	_
là il y a pas de récupération à deux cinq sur le produit il paie la tva quand quelqu' un fait le plein à la station	là il y a pas de récupération à zéro deux zéro cinq sur le produit qui paye la tva quand quelqu' un fait le plein à la station	_
là il p() il prend la tva de plein fouet donc c' est une atteinte au pouvoir d' achat à mon avis qui n' était pas juste alors que le gouvernement en la matière aujourd' hui fait preuve de lucidité et de courage	là il peut y prend la tva de plein fouet donc c' est une atteinte au pouvoir d' achat à mon avis qu' il était pas juste alors que le gouvernement en la matière aujourd' hui fait preuve de lucidité et courage	_
je vais être un peu polémique à mon tour françois patriat	est un peu polémiques à mon tour françois patriat	_
ce qu' a décidé le gouvernement de jean marc ayrault	qu' est décidée le gouvernement de jean marc ayrault	_
et de françois hollande c' est bien de taxer justement massivement tous les ménages français	françois hollande c' est bien de taxer justement massivement tous les ménages français	_
même s' il n' a pas augmenté la tva peut être qu' il le fera plus tard il a déjà pris cette décision	même si la pas augmenter la tva peut être qu' il le fera plus tard il a déjà pris cette décision	_
et les augmentations d' impôts de dix milliards ne touche pas une partie des ménages et le mensonge de jean marc ayrault	les augmentations d' impôts à dix milliards ne touche pas les mêmes partie des ménages et le mensonge de jean marc ayrault	_
qui nous dit neuf français sur dix seront épargnés c' est faux tout le monde le sait	nous dix neuf français sur dix seront épargnés c' est faux tout le monde le sait	_
quand vous augmentez les taxes sur les tabacs quand vous augmentez les taxes sur la bière	vous augmentez les taxes sur les nouvelles quand vous augmentez les taxes sur la bière	_
quand vous gelez le barème de l' impôt sur le revenu quand vous touchez au quotient familial quand vous touchez aux aux emplois à domicile vous touchez	quand vous gelé le barème de l' impôt sur le revenu quand vous toucher au quotient familial quand vous touchez aux aux emplois à domicile vous touchez	_
tous les français personne ne sera épargné et moi j' aurais préféré qu' au lieu d' avoir dix milliards d' impôts supplémentaires sur les ménages	les français personne ne sera épargnée et moi j' aurais préféré connu d' avoir dix milliards d' impôts supplémentaires sur les ménages	_
dix sur les entreprises et dix d' économie il y ait vingt milliards d' économie et si vous voulez des idées d' économie	sur les entreprises et dix d' économie il y a vingt milliards d' euros d' économies et si vous voulez des idées l' économie	_
moi je peux vous en donner mais alors vous pouvez prolonger l' émission de trente minutes	je peux vous en donner mais alors vous pouvez prolonger l' émission de trente minutes	_
j' en ai à n' en savoir que faire	j' en ai un en savoie que faire	_
je prends juste l' exemple de ma région la haute normandie on a encore deux régions haute normandie basse normandie	je prends juste l' exemple de ma région haute normandie on a encore deux régions haute normandie basse normandie	_
deux conseils régionaux avec tout ce qui va avec de fonctionnaires et de postes qui sont pas forcément utiles	conseils régionaux avec tout ce qui va avec de fonctionnaires et de postes qui sont pas forcément utiles	_
vous avez cinq conseils généraux pour une région qui si on rassemblait les deux ne ferait même pas la taille d' un land allemand	avez cinq conseils généraux pour une région qui ici ont rassemblé les deux ne ferait même pas la taille d' un land allemands	_
il est temps de fusionner un certain nombre d' outils administratifs	il est temps de fusionner un certain nombre d' outils administratifs	_
d' arrêter avec ce millefeuille d' empilement de décisions administratives et de lieux de décision qui coûte cher à l' état et qui coûte cher aux contribuables et qui coûte cher aux collectivités publiques	arrêté avec son mille feuille d' empilement de décisions administratives et de lieu de décision qui coûte cher à l' etat qui coûte cher au contribuable et qui coûtent cher aux collectivités publiques	_
vous pouvez faire des économies sur la dépense de santé honnêtement quand on voit les modalités de prescription	vous pouvez faire des économies sur la dépense de santé honnêtement quand on voit les modalités de prescription	_
tous les rapports le disent les rapports de la cour des comptes et même les médecins avec lesquels je discute disent on peut faire beaucoup mieux sur la prescription médicale	les rapports le disent les rapports de la cour des comptes et même les médecins avec lesquels je discute disent on peut faire beaucoup mieux sur la prescription médicale	_
et économiser chaque année des milliards d' euros donc je crois que par paresse intellectuelle	économisés chaque année des milliards d' euros donc je crois que par paresse intellectuelle	_
aussi par une certaine forme de lâcheté on renonce trop facilement à cette réduction à la dépense publique	aussi par une certaine forme de lâcheté on renonce trop facilement à cette réduction des dépenses publiques	_
